"name","href","系统","剧情","人设","画面","音乐","声优","游戏性","工口","鬼畜","总体评分","对白"
"《终末之际》","https://bangumi.tv/blog/274029","D+","C","E+","D-","B+","E","E","E+","C-","44",
"《永不落幕的前奏诗》","https://bangumi.tv/blog/272442","B","B+","B+","A-","A-","B+","E+","A-","D+","75",
"《近月少女的礼仪》","https://bangumi.tv/blog/270217","S-","B+","A+","A","B+","A","D","B-","C+","84",
"《爱妻沦为他人之物》","https://bangumi.tv/blog/277492","C+","C-","B-","A-","C+","C+","D-","B","C","55",
"《轮奸媚药中毒》","https://bangumi.tv/blog/292904","C+","E+","C","B","C-","B","E+","A-","A+","40",
"《窥视名玩》","https://bangumi.tv/blog/275664","C+","D-","B-","B+","C+","B","D","A-","C","51",
"《逆转检事2》","https://bangumi.tv/blog/276700","B-","A","B","C","A-","D-","A-","E","E+","86",
"《禁断的血族》","https://bangumi.tv/blog/272448","E+","D","D","D+","B-","C+","D+","D+","C+","45",
"《坂上台风》","https://bangumi.tv/blog/270561","S-","B","A-","B","B-","B+","C+","C","D","82",
"《车轮之国：向日葵的少女》","https://bangumi.tv/blog/269495","B","A+","B-","B-","A-","A","C-","C-","D","82",
"《潜伏之赤途》","https://bangumi.tv/blog/292739","E+","A+","B","C+","B+","E","D+","E","B-","75",
"《漫画同人会DCE》","https://bangumi.tv/blog/271650","C","B-","B+","B","A-","B+","A-","E+","E","81",
